,tol_inf,tol_sup,train_split,channels,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
671,0.2,0.7,0.2,32,1.0,0.6935483870967742,0.8190476190476191,62,0.3448275862068966,1.0,0.5128205128205129,10,0.6724137931034483,0.8467741935483871,0.665934065934066,72,0.9090038314176245,0.7361111111111112,0.7765160765160766,72,0.7361111111111112
672,0.2,0.7,0.2,32,0.9333333333333333,0.9032258064516129,0.9180327868852459,62,0.5,0.6,0.5454545454545454,10,0.7166666666666667,0.7516129032258064,0.7317436661698957,72,0.8731481481481481,0.8611111111111112,0.8662858089087597,72,0.8611111111111112
673,0.2,0.7,0.2,32,0.9607843137254902,0.7903225806451613,0.8672566371681416,62,0.38095238095238093,0.8,0.5161290322580645,10,0.6708683473389356,0.7951612903225806,0.691692834713103,72,0.8802521008403361,0.7916666666666666,0.8184889142639643,72,0.7916666666666666
674,0.2,0.7,0.2,32,1.0,0.7096774193548387,0.8301886792452831,62,0.35714285714285715,1.0,0.5263157894736842,10,0.6785714285714286,0.8548387096774194,0.6782522343594837,72,0.9107142857142857,0.75,0.78798411122145,72,0.75
675,0.2,0.7,0.2,32,0.9636363636363636,0.8548387096774194,0.905982905982906,62,0.47058823529411764,0.8,0.5925925925925927,10,0.7171122994652406,0.8274193548387097,0.7492877492877493,72,0.8951574569221629,0.8472222222222222,0.8624564735675846,72,0.8472222222222222
676,0.2,0.7,0.2,32,0.9090909090909091,0.8064516129032258,0.8547008547008547,62,0.29411764705882354,0.5,0.37037037037037035,10,0.6016042780748663,0.6532258064516129,0.6125356125356125,72,0.8236779560308971,0.7638888888888888,0.7874327318771762,72,0.7638888888888888
677,0.2,0.7,0.2,32,0.9761904761904762,0.6612903225806451,0.7884615384615384,62,0.3,0.9,0.45000000000000007,10,0.638095238095238,0.7806451612903226,0.6192307692307693,72,0.8822751322751323,0.6944444444444444,0.7414529914529914,72,0.6944444444444444
678,0.2,0.7,0.2,32,1.0,0.08064516129032258,0.1492537313432836,62,0.14925373134328357,1.0,0.2597402597402597,10,0.5746268656716418,0.5403225806451613,0.20449699554177164,72,0.8818407960199005,0.20833333333333334,0.1645990825095303,72,0.20833333333333334
679,0.2,0.7,0.2,32,0.9649122807017544,0.8870967741935484,0.9243697478991597,62,0.5333333333333333,0.8,0.64,10,0.7491228070175439,0.8435483870967742,0.7821848739495798,72,0.9049707602339182,0.875,0.8848739495798319,72,0.875
680,0.2,0.7,0.2,32,1.0,0.6612903225806451,0.7961165048543689,62,0.3225806451612903,1.0,0.4878048780487805,10,0.6612903225806451,0.8306451612903225,0.6419606914515747,72,0.9059139784946235,0.7083333333333334,0.753295445575815,72,0.7083333333333334
681,0.2,0.7,0.2,32,0.9642857142857143,0.8709677419354839,0.9152542372881356,62,0.5,0.8,0.6153846153846154,10,0.7321428571428572,0.8354838709677419,0.7653194263363755,72,0.8998015873015872,0.8611111111111112,0.8736056786904245,72,0.8611111111111112
682,0.2,0.7,0.2,32,0.9777777777777777,0.7096774193548387,0.8224299065420562,62,0.3333333333333333,0.9,0.48648648648648646,10,0.6555555555555556,0.8048387096774194,0.6544581965142713,72,0.8882716049382716,0.7361111111111112,0.7757710982010049,72,0.7361111111111112
683,0.2,0.7,0.2,32,0.9193548387096774,0.9193548387096774,0.9193548387096774,62,0.5,0.5,0.5,10,0.7096774193548387,0.7096774193548387,0.7096774193548387,72,0.8611111111111112,0.8611111111111112,0.8611111111111112,72,0.8611111111111112
684,0.2,0.7,0.2,32,0.9193548387096774,0.9193548387096774,0.9193548387096774,62,0.5,0.5,0.5,10,0.7096774193548387,0.7096774193548387,0.7096774193548387,72,0.8611111111111112,0.8611111111111112,0.8611111111111112,72,0.8611111111111112
685,0.2,0.7,0.2,32,0.9655172413793104,0.9032258064516129,0.9333333333333333,62,0.5714285714285714,0.8,0.6666666666666666,10,0.7684729064039408,0.8516129032258064,0.8,72,0.9107827038861522,0.8888888888888888,0.8962962962962963,72,0.8888888888888888
686,0.2,0.7,0.2,32,0.9583333333333334,0.7419354838709677,0.8363636363636364,62,0.3333333333333333,0.8,0.47058823529411764,10,0.6458333333333334,0.7709677419354839,0.6534759358288771,72,0.8715277777777779,0.75,0.7855614973262033,72,0.75
687,0.2,0.7,0.2,32,0.94,0.7580645161290323,0.8392857142857143,62,0.3181818181818182,0.7,0.4375,10,0.629090909090909,0.7290322580645161,0.6383928571428572,72,0.8536363636363635,0.75,0.7834821428571428,72,0.75
688,0.2,0.7,0.2,32,0.9433962264150944,0.8064516129032258,0.8695652173913043,62,0.3684210526315789,0.7,0.48275862068965514,10,0.6559086395233367,0.7532258064516129,0.6761619190404797,72,0.8635385633896061,0.7916666666666666,0.8158420789605196,72,0.7916666666666666
689,0.2,0.7,0.2,32,0.95,0.9193548387096774,0.9344262295081968,62,0.5833333333333334,0.7,0.6363636363636365,10,0.7666666666666666,0.8096774193548386,0.7853949329359167,72,0.8990740740740741,0.8888888888888888,0.8930286471270078,72,0.8888888888888888
690,0.2,0.7,0.2,32,1.0,0.532258064516129,0.6947368421052631,62,0.2564102564102564,1.0,0.4081632653061224,10,0.6282051282051282,0.7661290322580645,0.5514500537056928,72,0.8967236467236468,0.5972222222222222,0.6549349564387157,72,0.5972222222222222
691,0.2,0.7,0.2,32,0.9375,0.967741935483871,0.9523809523809523,62,0.75,0.6,0.6666666666666665,10,0.84375,0.7838709677419355,0.8095238095238094,72,0.9114583333333334,0.9166666666666666,0.9126984126984126,72,0.9166666666666666
692,0.2,0.7,0.2,32,0.9152542372881356,0.8709677419354839,0.8925619834710744,62,0.38461538461538464,0.5,0.4347826086956522,10,0.6499348109517601,0.685483870967742,0.6636722960833633,72,0.8415543966391424,0.8194444444444444,0.8289815147522658,72,0.8194444444444444
693,0.2,0.7,0.2,32,0.9516129032258065,0.9516129032258065,0.9516129032258065,62,0.7,0.7,0.7,10,0.8258064516129032,0.8258064516129032,0.8258064516129032,72,0.9166666666666666,0.9166666666666666,0.9166666666666666,72,0.9166666666666666
