,embedding_d,channels,train_split,mse,mae,r2
1623,4,16,0.2,0.19598112,0.36393446,-0.7155795670895837
1624,4,16,0.2,0.2348376,0.37061155,-1.1489226922864106
1625,4,16,0.2,0.12927754,0.28604895,-0.18433026778492612
1626,4,16,0.2,0.24848473,0.4155356,-1.2865806140865694
1627,4,16,0.2,0.18477596,0.3360212,-0.6139713307859789
1628,4,16,0.2,0.098064445,0.2710059,0.07364701194060452
1629,4,16,0.2,0.23489974,0.3584757,-1.2811665118416253
1630,4,16,0.2,0.20757966,0.36969718,-0.9634505194720009
1631,4,16,0.2,0.08676901,0.22804227,0.15918565102734705
1632,4,16,0.2,0.17700188,0.35227478,-0.5452018421984086
1633,4,16,0.2,0.12109263,0.28166127,-0.021834955960709834
1634,4,16,0.2,0.17503275,0.36278716,-0.530118442099476
1635,4,16,0.2,0.16901961,0.2958927,-0.3849849412525237
1636,4,16,0.2,0.19286776,0.35312536,-0.6877921399461873
1637,4,16,0.2,0.21855208,0.3609229,-1.022960129470762
1638,4,16,0.2,0.13645412,0.30936033,-0.3805978962180796
1639,4,16,0.2,0.13724896,0.2967841,-0.27078477927432254
1640,4,16,0.2,0.12141236,0.26642203,-0.056496290093464685
1641,4,16,0.2,0.1817784,0.33049193,-0.5615343027843918
1642,4,16,0.2,0.16979605,0.33459195,-0.5263021133178627
1643,4,16,0.2,0.15348135,0.3050136,-0.39762412181459816
1644,4,16,0.2,0.22342497,0.37478456,-0.94841938410181
1645,4,16,0.2,0.2401343,0.367022,-1.0675704471243992
1646,4,16,0.2,0.08479012,0.22772783,0.10275694403566593
1647,4,16,0.2,0.28631333,0.44025388,-1.5846257103435586
1648,4,16,0.2,0.20835723,0.34750643,-0.817872909301679
1649,4,16,0.2,0.19199365,0.33135024,-0.7247460428396095
1650,4,16,0.3,0.1346854,0.26650718,-0.026554568376928156
1651,4,16,0.3,0.103300855,0.24860227,0.04076430051718771
1652,4,16,0.3,0.17595051,0.33909604,-0.48227014910224897
1653,4,16,0.3,0.10851003,0.25843233,0.1065885720111478
1654,4,16,0.3,0.15182848,0.29674196,-0.26238251551552083
1655,4,16,0.3,0.23773944,0.39280894,-1.207559787191879
1656,4,16,0.3,0.14556447,0.27883735,-0.2223229738149899
1657,4,16,0.3,0.102790676,0.23324825,0.11865129209019143
1658,4,16,0.3,0.15686586,0.31805673,-0.4144097431493805
1659,4,16,0.3,0.1311038,0.28281906,-0.21377704560956934
1660,4,16,0.3,0.120457016,0.2688193,-0.02621709543548767
1661,4,16,0.3,0.16540095,0.30764854,-0.4249141659964071
1662,4,16,0.3,0.121726826,0.2891483,-0.5293299638852154
1663,4,16,0.3,0.103820994,0.26377127,0.1678953979187242
1664,4,16,0.3,0.12406592,0.29299256,-0.0007873891401051214
1665,4,16,0.3,0.22761388,0.40017512,-0.9574454382163213
1666,4,16,0.3,0.14180632,0.30243996,-0.2990409239691372
1667,4,16,0.3,0.12711766,0.2939792,-0.03686219169511218
1668,4,16,0.3,0.12083127,0.27143538,-0.12960377424126834
1669,4,16,0.3,0.29321074,0.43273678,-1.7601780811795922
1670,4,16,0.3,0.10027775,0.23405202,0.052943038562657585
1671,4,16,0.3,0.13617763,0.27790782,-0.16068778283045226
1672,4,16,0.3,0.13802688,0.29562157,-0.22876025468138383
1673,4,16,0.3,0.21489999,0.36276156,-0.7505318920867303
1674,4,16,0.3,0.13157378,0.3026261,-0.20376569058382277
1675,4,16,0.3,0.1505452,0.30943227,-0.41122308900296045
1676,4,16,0.3,0.123752534,0.29610288,-0.24074424313556997
1677,4,16,0.3,0.10663303,0.24257757,0.060769691464443554
1678,4,16,0.3,0.16126917,0.31913787,-0.31395158090525954
1679,4,16,0.3,0.16429362,0.30342582,-0.3725279294183923
1680,4,16,0.3,0.10867914,0.27065682,0.03151145872744343
1681,4,16,0.3,0.1229377,0.27339345,-0.05191321506677893
1682,4,16,0.3,0.13737293,0.30143023,-0.2440655157620102
1683,4,16,0.3,0.13775077,0.27671832,-0.1415744463973474
