,fpr,tpr,threshold,eval,k,train_split,quantile
91,0.68,0.25,0.10849071,3,1,0.1,0.25
92,0.68,0.375,0.09324352,3,1,0.1,0.25
93,0.72,0.375,0.08063802,3,1,0.1,0.25
94,0.72,0.5,0.06660776,3,1,0.1,0.25
95,0.84,0.5,0.039513525,3,1,0.1,0.25
96,0.84,0.625,0.033084225,3,1,0.1,0.25
97,0.88,0.625,0.026077336,3,1,0.1,0.25
98,0.88,0.75,0.01589719,3,1,0.1,0.25
99,0.96,0.75,0.010678348,3,1,0.1,0.25
100,0.96,1.0,0.003755194,3,1,0.1,0.25
101,1.0,1.0,0.0013306425,3,1,0.1,0.25
102,0.0,0.0,1.9955049,4,1,0.1,0.25
103,0.04,0.0,0.9955048,4,1,0.1,0.25
104,0.04,0.125,0.9906313,4,1,0.1,0.25
105,0.16,0.125,0.8305488,4,1,0.1,0.25
106,0.16,0.25,0.7401134,4,1,0.1,0.25
107,0.68,0.25,0.09702295,4,1,0.1,0.25
108,0.68,0.375,0.07073556,4,1,0.1,0.25
109,0.76,0.375,0.055356544,4,1,0.1,0.25
110,0.76,0.5,0.051315963,4,1,0.1,0.25
111,0.88,0.5,0.018712638,4,1,0.1,0.25
112,0.88,0.625,0.017065214,4,1,0.1,0.25
113,0.96,0.625,0.015808826,4,1,0.1,0.25
114,0.96,1.0,0.0028484722,4,1,0.1,0.25
115,1.0,1.0,0.0008338411,4,1,0.1,0.25
116,0.0,0.0,1.9956756,5,1,0.1,0.25
117,0.04,0.0,0.9956756,5,1,0.1,0.25
118,0.04,0.125,0.9847149,5,1,0.1,0.25
119,0.16,0.125,0.86913025,5,1,0.1,0.25
120,0.16,0.25,0.82555574,5,1,0.1,0.25
121,0.8,0.25,0.074145384,5,1,0.1,0.25
122,0.8,0.5,0.051133208,5,1,0.1,0.25
123,0.84,0.5,0.047674675,5,1,0.1,0.25
124,0.84,0.625,0.03602245,5,1,0.1,0.25
125,0.88,0.625,0.03004352,5,1,0.1,0.25
126,0.88,0.75,0.022742903,5,1,0.1,0.25
127,0.96,0.75,0.012112671,5,1,0.1,0.25
128,0.96,1.0,0.0049496316,5,1,0.1,0.25
129,1.0,1.0,0.0022557548,5,1,0.1,0.25
130,0.0,0.0,1.997169,1,2,0.1,0.05
131,0.03125,0.0,0.99716896,1,2,0.1,0.05
132,0.03125,1.0,0.9910487,1,2,0.1,0.05
133,1.0,1.0,7.508915e-05,1,2,0.1,0.05
134,0.0,0.0,1.9976003,2,2,0.1,0.05
135,0.03125,0.0,0.99760026,2,2,0.1,0.05
136,0.03125,1.0,0.9925211,2,2,0.1,0.05
137,1.0,1.0,0.00025304008,2,2,0.1,0.05
138,0.0,0.0,1.9973717,3,2,0.1,0.05
139,0.03125,0.0,0.9973717,3,2,0.1,0.05
140,0.03125,1.0,0.99422234,3,2,0.1,0.05
141,1.0,1.0,0.00013093301,3,2,0.1,0.05
142,0.0,0.0,1.9971211,4,2,0.1,0.05
143,0.03125,0.0,0.99712104,4,2,0.1,0.05
144,0.03125,1.0,0.9940422,4,2,0.1,0.05
145,1.0,1.0,0.0001550468,4,2,0.1,0.05
146,0.0,0.0,1.9976573,5,2,0.1,0.05
147,0.03125,0.0,0.9976573,5,2,0.1,0.05
148,0.0625,0.0,0.9921514,5,2,0.1,0.05
149,0.0625,1.0,0.99029094,5,2,0.1,0.05
150,1.0,1.0,0.00028403036,5,2,0.1,0.05
151,0.0,0.0,1.9987671,1,2,0.1,0.1
152,0.03333333333333333,0.0,0.99876714,1,2,0.1,0.1
153,0.13333333333333333,0.0,0.9861843,1,2,0.1,0.1
154,0.13333333333333333,0.3333333333333333,0.97090685,1,2,0.1,0.1
155,0.2,0.3333333333333333,0.9153441,1,2,0.1,0.1
156,0.2,0.6666666666666666,0.893969,1,2,0.1,0.1
157,0.26666666666666666,0.6666666666666666,0.88266706,1,2,0.1,0.1
158,0.26666666666666666,1.0,0.83954805,1,2,0.1,0.1
159,1.0,1.0,0.0014125198,1,2,0.1,0.1
160,0.0,0.0,1.9990652,2,2,0.1,0.1
