,k,train_split,channels,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
0,1,0.1,16,0.5,0.09090909090909091,0.15384615384615385,11,0.09090909090909091,0.5,0.15384615384615385,2,0.29545454545454547,0.29545454545454547,0.15384615384615385,13,0.43706293706293703,0.15384615384615385,0.15384615384615385,13,0.15384615384615385
1,1,0.1,16,1.0,0.7272727272727273,0.8421052631578948,11,0.4,1.0,0.5714285714285715,2,0.7,0.8636363636363636,0.7067669172932332,13,0.9076923076923078,0.7692307692307693,0.8004626951995373,13,0.7692307692307693
2,1,0.1,16,1.0,0.36363636363636365,0.5333333333333333,11,0.2222222222222222,1.0,0.3636363636363636,2,0.6111111111111112,0.6818181818181819,0.4484848484848485,13,0.8803418803418803,0.46153846153846156,0.5072261072261072,13,0.46153846153846156
3,1,0.1,16,0.0,0.0,0.0,11,0.15384615384615385,1.0,0.2666666666666667,2,0.07692307692307693,0.5,0.13333333333333336,13,0.02366863905325444,0.15384615384615385,0.04102564102564103,13,0.15384615384615385
4,1,0.1,16,1.0,0.7272727272727273,0.8421052631578948,11,0.4,1.0,0.5714285714285715,2,0.7,0.8636363636363636,0.7067669172932332,13,0.9076923076923078,0.7692307692307693,0.8004626951995373,13,0.7692307692307693
5,1,0.1,16,0.75,0.2727272727272727,0.39999999999999997,11,0.1111111111111111,0.5,0.1818181818181818,2,0.4305555555555556,0.38636363636363635,0.2909090909090909,13,0.6517094017094016,0.3076923076923077,0.3664335664335664,13,0.3076923076923077
6,1,0.1,16,0.9,0.8181818181818182,0.8571428571428572,11,0.3333333333333333,0.5,0.4,2,0.6166666666666667,0.6590909090909092,0.6285714285714286,13,0.8128205128205128,0.7692307692307693,0.7868131868131869,13,0.7692307692307693
7,1,0.1,16,0.9,0.8181818181818182,0.8571428571428572,11,0.3333333333333333,0.5,0.4,2,0.6166666666666667,0.6590909090909092,0.6285714285714286,13,0.8128205128205128,0.7692307692307693,0.7868131868131869,13,0.7692307692307693
8,1,0.1,16,0.9,0.8181818181818182,0.8571428571428572,11,0.3333333333333333,0.5,0.4,2,0.6166666666666667,0.6590909090909092,0.6285714285714286,13,0.8128205128205128,0.7692307692307693,0.7868131868131869,13,0.7692307692307693
9,1,0.1,16,1.0,0.45454545454545453,0.625,11,0.25,1.0,0.4,2,0.625,0.7272727272727273,0.5125,13,0.8846153846153846,0.5384615384615384,0.5903846153846154,13,0.5384615384615384
10,1,0.1,16,0.5,0.09090909090909091,0.15384615384615385,11,0.09090909090909091,0.5,0.15384615384615385,2,0.29545454545454547,0.29545454545454547,0.15384615384615385,13,0.43706293706293703,0.15384615384615385,0.15384615384615385,13,0.15384615384615385
11,1,0.1,16,0.9,0.8181818181818182,0.8571428571428572,11,0.3333333333333333,0.5,0.4,2,0.6166666666666667,0.6590909090909092,0.6285714285714286,13,0.8128205128205128,0.7692307692307693,0.7868131868131869,13,0.7692307692307693
12,1,0.1,16,1.0,0.8181818181818182,0.9,11,0.5,1.0,0.6666666666666666,2,0.75,0.9090909090909092,0.7833333333333333,13,0.9230769230769231,0.8461538461538461,0.8641025641025641,13,0.8461538461538461
13,1,0.1,16,1.0,0.8181818181818182,0.9,11,0.5,1.0,0.6666666666666666,2,0.75,0.9090909090909092,0.7833333333333333,13,0.9230769230769231,0.8461538461538461,0.8641025641025641,13,0.8461538461538461
14,1,0.1,16,1.0,0.6363636363636364,0.7777777777777778,11,0.3333333333333333,1.0,0.5,2,0.6666666666666666,0.8181818181818181,0.6388888888888888,13,0.8974358974358974,0.6923076923076923,0.735042735042735,13,0.6923076923076923
15,1,0.1,16,1.0,0.45454545454545453,0.625,11,0.25,1.0,0.4,2,0.625,0.7272727272727273,0.5125,13,0.8846153846153846,0.5384615384615384,0.5903846153846154,13,0.5384615384615384
16,1,0.1,16,1.0,0.8181818181818182,0.9,11,0.5,1.0,0.6666666666666666,2,0.75,0.9090909090909092,0.7833333333333333,13,0.9230769230769231,0.8461538461538461,0.8641025641025641,13,0.8461538461538461
17,1,0.1,16,1.0,0.8181818181818182,0.9,11,0.5,1.0,0.6666666666666666,2,0.75,0.9090909090909092,0.7833333333333333,13,0.9230769230769231,0.8461538461538461,0.8641025641025641,13,0.8461538461538461
18,1,0.1,16,1.0,0.8181818181818182,0.9,11,0.5,1.0,0.6666666666666666,2,0.75,0.9090909090909092,0.7833333333333333,13,0.9230769230769231,0.8461538461538461,0.8641025641025641,13,0.8461538461538461
19,1,0.1,16,1.0,0.45454545454545453,0.625,11,0.25,1.0,0.4,2,0.625,0.7272727272727273,0.5125,13,0.8846153846153846,0.5384615384615384,0.5903846153846154,13,0.5384615384615384
20,1,0.1,16,1.0,0.09090909090909091,0.16666666666666669,11,0.16666666666666666,1.0,0.2857142857142857,2,0.5833333333333334,0.5454545454545454,0.2261904761904762,13,0.8717948717948718,0.23076923076923078,0.18498168498168502,13,0.23076923076923078
