,embedding_d,channels,train_split,mse,mae,r2,k
0,32,32,0.1,0.24022058,0.4497604,-0.1516465266335616,1
1,32,32,0.1,0.2219476,0.41788414,-0.06129661902883288,1
2,32,32,0.1,0.207673,0.3709348,-0.026039714494846544,1
3,32,32,0.1,0.22181746,0.38691476,-0.02635389029540769,1
4,32,32,0.1,0.21968225,0.38110334,-0.022333290964584585,1
5,32,32,0.1,0.3403371,0.46199366,-0.5947981273131544,1
6,32,32,0.1,0.26166326,0.35492828,-0.1780995298338619,1
7,32,32,0.1,0.21704984,0.37732273,-0.02903515592887329,1
8,32,32,0.1,0.25668675,0.3952328,-0.19092467647765932,1
9,32,32,0.1,0.21033233,0.3599777,-0.0027061396401037996,1
10,32,32,0.1,0.22540177,0.3697049,-0.050342084960310673,1
11,32,32,0.1,0.2166674,0.39654547,-0.018177606916391476,1
12,32,32,0.1,0.22154438,0.40187538,-0.04090831044857768,1
13,32,32,0.1,0.36724547,0.50576866,-0.8383409333064449,1
14,32,32,0.1,0.22312896,0.37533528,-0.022134691342144075,1
15,32,32,0.1,0.23934458,0.4545722,-0.1731565210121757,1
16,32,32,0.1,0.22272243,0.40093458,-0.04345351164088829,1
17,32,32,0.1,0.22506425,0.38606364,-0.039000806223249196,1
18,32,32,0.1,0.2207313,0.41755882,-0.05610609875531325,1
19,32,32,0.1,0.22170056,0.37171748,-0.015870581596290734,1
20,32,32,0.1,0.33208543,0.44169647,-0.5259869606479328,1
21,32,32,0.1,0.29713994,0.39194024,-0.36638179469892695,1
22,32,32,0.1,0.21749206,0.37936264,-0.05077612231540707,1
23,32,32,0.1,0.21259901,0.3785015,-0.00479707920176109,1
24,32,32,0.1,0.23685065,0.3590195,-0.08147339764042494,1
25,32,32,0.1,0.21995206,0.40319023,-0.030224163617589284,1
26,32,32,0.1,0.2559892,0.39912632,-0.21050253249676376,1
27,32,32,0.1,0.22095247,0.387165,-0.03786438338505005,1
28,32,32,0.1,0.22970273,0.36515918,-0.04413201337337913,1
29,32,32,0.1,0.24382782,0.32161188,-0.08732614375884129,1
30,32,32,0.1,0.23640421,0.44452405,-0.14828088349889068,1
31,32,32,0.1,0.33794054,0.41833043,-0.5202214566463867,1
32,32,32,0.1,0.27301413,0.44232896,-0.3370044851804479,1
33,32,32,0.1,0.26294145,0.4289519,-0.2774128520058037,1
34,32,32,0.1,0.21714112,0.41087165,-0.05075415510956538,1
35,32,32,0.1,0.26822022,0.46056405,-0.29439207439626136,1
36,32,32,0.1,0.25575027,0.3338496,-0.15563873239658887,1
37,32,32,0.1,0.2428713,0.44572848,-0.14518182513272548,1
38,32,32,0.1,0.22899598,0.4087493,-0.07416051787609246,1
39,32,32,0.1,0.21889584,0.39321044,-0.026379974719217714,1
40,32,32,0.1,0.21723653,0.41512835,-0.04881798491532008,1
41,32,32,0.1,0.24426517,0.38022402,-0.1538905409673086,1
42,32,32,0.1,0.22265829,0.38007233,-0.03670716664085538,1
43,32,32,0.1,0.21843696,0.3278726,-0.02982709906560088,1
44,32,32,0.1,0.23614682,0.3457679,-0.07485218818839945,1
45,32,32,0.1,0.21623275,0.37233582,-0.019094334481059017,1
46,32,32,0.1,0.23649187,0.37001246,-0.13317376601516306,1
47,32,32,0.1,0.2329419,0.3235509,-0.08070797309293165,1
48,32,32,0.1,0.2238593,0.40073365,-0.04868656833578644,1
49,32,32,0.1,0.29023132,0.41494912,-0.31632604117907515,1
50,32,32,0.7,0.2289886,0.38015452,-0.019659435720833507,1
51,32,32,0.7,0.1870125,0.34640208,0.030595875968922326,1
52,32,32,0.7,0.18922688,0.36985254,-0.056493271913756304,1
53,32,32,0.7,0.25521573,0.40201,-0.024377990610723765,1
54,32,32,0.7,0.23330463,0.37266722,-0.08433862198343212,1
55,32,32,0.7,0.23081414,0.3815571,0.0335034117416928,1
56,32,32,0.7,0.20644347,0.35460892,0.013934589523826424,1
57,32,32,0.7,0.19177903,0.35545388,0.008457187036197467,1
58,32,32,0.7,0.24216743,0.38958153,-0.02601280670921957,1
59,32,32,0.7,0.20025603,0.36687016,0.0016107523523212208,1
60,32,32,0.7,0.19541615,0.36640623,0.004008433969394765,1
61,32,32,0.7,0.21576582,0.3816142,-0.03264820896666398,1
62,32,32,0.7,0.25539517,0.40805468,-0.007254921236574008,1
63,32,32,0.7,0.26459923,0.40475917,-0.042961132757498355,1
64,32,32,0.7,0.1924452,0.3554976,-0.007074444737353636,1
65,32,32,0.7,0.21343213,0.37332222,0.0010928888258648906,1
66,32,32,0.7,0.19862024,0.37481964,-0.03434361863330215,1
67,32,32,0.7,0.21875624,0.36921087,-0.007126372854361129,1
68,32,32,0.7,0.1727339,0.3342676,0.006924087343869623,1
69,32,32,0.7,0.20732738,0.37517634,-0.031839678733816656,1
70,32,32,0.7,0.1949354,0.35746717,0.00880738397174785,1
71,32,32,0.7,0.21228795,0.378131,-0.05954307543496551,1
72,32,32,0.7,0.20380314,0.36173654,0.020113304634714724,1
73,32,32,0.7,0.24780858,0.40742716,-0.08765515070177199,1
74,32,32,0.7,0.21917783,0.3773106,-0.001460112402464242,1
75,32,32,0.7,0.22877832,0.347308,-0.11067713651616073,1
76,32,32,0.7,0.20050228,0.37151805,-0.026296574761552005,1
77,32,32,0.7,0.22864193,0.3805605,-0.013481199318209347,1
78,32,32,0.7,0.16081844,0.3297219,-0.0939349304234749,1
79,32,32,0.7,0.20276521,0.35728383,0.043056103217332664,1
80,32,32,0.7,0.19682534,0.36388853,-0.0420366581579974,1
81,32,32,0.7,0.22364664,0.38061038,-0.052565001239676334,1
82,32,32,0.7,0.2544456,0.3942583,-0.08386065417326716,1
83,32,32,0.7,0.20914333,0.3751823,-0.037480721387928906,1
84,32,32,0.7,0.1889125,0.34720695,-0.03168135818600759,1
85,32,32,0.7,0.23157269,0.3644599,-0.01888370845892462,1
86,32,32,0.7,0.21485637,0.378739,0.014727988561315075,1
87,32,32,0.7,0.24882402,0.4066199,-0.007595743995820303,1
88,32,32,0.7,0.20526282,0.37657893,0.00526949275179267,1
89,32,32,0.7,0.25772414,0.3808466,-0.0387620461655136,1
90,32,32,0.7,0.23973008,0.3988465,-0.01183589337260127,1
91,32,32,0.7,0.1970073,0.35934123,0.010492792118228067,1
92,32,32,0.7,0.21759343,0.3864745,0.005199400346875271,1
93,32,32,0.7,0.25964123,0.4049591,-0.04966744303412218,1
94,32,32,0.7,0.23189075,0.38789713,-0.002994261927327768,1
95,32,32,0.7,0.19494808,0.36877134,-0.0465776786434815,1
96,32,32,0.7,0.23209907,0.3682092,-0.3526105098504084,1
97,32,32,0.7,0.2122398,0.38474295,-0.1855102036995262,1
98,32,32,0.7,0.18949004,0.36260447,0.016146519608515653,1
99,32,32,0.7,0.21940129,0.3899218,-0.023088242749356613,1
100,32,32,0.1,0.22848833,0.4239405,-0.07218479128099675,2
101,32,32,0.1,0.2203991,0.3909214,-0.024552799240301182,2
102,32,32,0.1,0.2244284,0.37712744,-0.03240874265558369,2
103,32,32,0.1,0.22182986,0.42149898,-0.06724341780754362,2
104,32,32,0.1,0.22562353,0.36780864,-0.0662951105065066,2
105,32,32,0.1,0.22567919,0.43451715,-0.08893834551956936,2
106,32,32,0.1,0.22778544,0.35127434,-0.049832722290751086,2
107,32,32,0.1,0.20894243,0.36495504,0.009043108009115786,2
108,32,32,0.1,0.21722528,0.4105088,-0.03489109291006187,2
109,32,32,0.1,0.26640502,0.4155201,-0.2877192003731113,2
110,32,32,0.1,0.20221461,0.37119776,0.025457869105158015,2
111,32,32,0.1,0.36514527,0.48860204,-0.7642728173047038,2
112,32,32,0.1,0.21772885,0.37674528,-0.018099786519128136,2
113,32,32,0.1,0.22385067,0.433243,-0.08792021483140844,2
114,32,32,0.1,0.26559505,0.30299112,-0.20749545491778787,2
115,32,32,0.1,0.24873145,0.32815206,-0.13715107200031706,2
116,32,32,0.1,0.2365626,0.3409844,-0.06884082232345534,2
