,k,train_split,channels,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
0,1,0.1,64,1.0,0.25748502994011974,0.4095238095238095,167,0.008,1.0,0.015873015873015872,1,0.504,0.6287425149700598,0.2126984126984127,168,0.9940952380952381,0.26190476190476186,0.4071806500377929,168,0.2619047619047619
1,1,0.1,64,1.0,0.029940119760479042,0.058139534883720936,167,0.006134969325153374,1.0,0.012195121951219513,1,0.5030674846625767,0.5149700598802395,0.03516732841747022,168,0.9940841367221736,0.03571428571428571,0.057866056235313185,168,0.03571428571428571
2,1,0.1,64,0.9930555555555556,0.8562874251497006,0.9196141479099679,167,0.0,0.0,0.0,1,0.4965277777777778,0.4281437125748503,0.45980707395498394,168,0.9871445105820106,0.8511904761904762,0.9141402541724085,168,0.8511904761904762
3,1,0.1,64,1.0,0.3652694610778443,0.5350877192982456,167,0.009345794392523364,1.0,0.018518518518518517,1,0.5046728971962616,0.6826347305389222,0.27680311890838205,168,0.994103248776146,0.36904761904761907,0.5320129026269377,168,0.36904761904761907
4,1,0.1,64,1.0,0.1377245508982036,0.2421052631578947,167,0.006896551724137931,1.0,0.0136986301369863,1,0.503448275862069,0.5688622754491018,0.1279019466474405,168,0.994088669950739,0.14285714285714285,0.24074569986610359,168,0.14285714285714285
5,1,0.1,64,1.0,0.11377245508982035,0.20430107526881722,167,0.006711409395973154,1.0,0.013333333333333332,1,0.5033557046979866,0.5568862275449101,0.10881720430107528,168,0.9940875679130712,0.11904761904761904,0.20316436251920122,168,0.11904761904761904
6,1,0.1,64,1.0,0.08982035928143713,0.16483516483516483,167,0.006535947712418301,1.0,0.012987012987012988,1,0.5032679738562091,0.5449101796407185,0.08891108891108891,168,0.9940865234982882,0.09523809523809523,0.16393130678844964,168,0.09523809523809523
7,1,0.1,64,0.99,0.592814371257485,0.7415730337078651,167,0.0,0.0,0.0,1,0.495,0.2964071856287425,0.37078651685393255,168,0.984107142857143,0.5892857142857143,0.737158908507223,168,0.5892857142857143
8,1,0.1,64,1.0,0.10778443113772455,0.1945945945945946,167,0.006666666666666667,1.0,0.013245033112582783,1,0.5033333333333333,0.5538922155688623,0.1039198138535887,168,0.9940873015873015,0.1130952380952381,0.19351513291910644,168,0.1130952380952381
9,1,0.1,64,1.0,0.33532934131736525,0.5022421524663677,167,0.008928571428571428,1.0,0.017699115044247787,1,0.5044642857142857,0.6676646706586826,0.25997063375530777,168,0.9941007653061226,0.3392857142857143,0.4993579677198075,168,0.3392857142857143
