,embedding_d,channels,train_split,mse,mae,r2,k
0,32,32,0.1,0.13831688,0.27268493,-0.3249481660838811,1
1,32,32,0.1,0.25050125,0.3982941,-2.203059388433263,1
2,32,32,0.1,0.12317884,0.28048754,-0.21961154244512082,1
3,32,32,0.1,0.14305554,0.28344426,-0.40709920439966996,1
4,32,32,0.1,0.13258083,0.2698745,-0.2904628021785747,1
5,32,32,0.1,0.14924952,0.28319207,-0.4654655499095006,1
6,32,32,0.1,0.15707912,0.2760112,-0.5017572252225848,1
7,32,32,0.1,0.14348336,0.31660232,-0.3991145671256513,1
8,32,32,0.1,0.15989567,0.30638942,-0.4928802927615805,1
9,32,32,0.1,0.13153672,0.26445413,-0.21625506305721154,1
10,32,32,0.1,0.15277205,0.32893613,-0.5170888667249982,1
11,32,32,0.1,0.12913063,0.2881834,-0.3126903127366054,1
12,32,32,0.1,0.10956502,0.26195958,-0.03955665146777676,1
13,32,32,0.1,0.11695429,0.25496188,-0.09540847962439547,1
14,32,32,0.1,0.13367985,0.28522205,-0.2856324583132617,1
15,32,32,0.1,0.09828953,0.24970524,0.010985468263454257,1
16,32,32,0.1,0.20927592,0.3597939,-1.598944518418322,1
17,32,32,0.1,0.12774439,0.29157054,-0.2427470042583002,1
18,32,32,0.1,0.11508537,0.27337617,-0.1266394127150261,1
19,32,32,0.1,0.25239927,0.36399877,-2.428998552617123,1
20,32,32,0.1,0.115375355,0.2667811,-0.06717783024199742,1
21,32,32,0.1,0.10977957,0.25843263,-0.01708333304175169,1
22,32,32,0.1,0.11304526,0.26517463,-0.07377255008570538,1
23,32,32,0.1,0.114626765,0.26975235,-0.059375857495846285,1
24,32,32,0.1,0.17021869,0.31132036,-0.6291563656505041,1
25,32,32,0.1,0.12351657,0.2652946,-0.1721291279504924,1
26,32,32,0.1,0.16860764,0.30100223,-0.5881294924422984,1
27,32,32,0.1,0.090781644,0.26081562,-0.19736364116607996,1
28,32,32,0.1,0.13765484,0.272473,-0.8046127586059622,1
29,32,32,0.1,0.11288442,0.26687604,-0.07038590814049206,1
30,32,32,0.1,0.11655589,0.27531102,-0.19375949242759893,1
31,32,32,0.1,0.18289158,0.36477268,-0.8776098856642747,1
32,32,32,0.1,0.09728933,0.24905838,-0.2527339322287403,1
33,32,32,0.1,0.11424842,0.27121803,-0.16833417936476613,1
34,32,32,0.1,0.123906314,0.28732762,-0.2220666423764821,1
35,32,32,0.1,0.12439421,0.2577774,-0.13412394024527408,1
36,32,32,0.1,0.10421658,0.2530304,-0.07007595369809905,1
37,32,32,0.1,0.114209116,0.25709605,-0.044948108361980044,1
38,32,32,0.1,0.11314329,0.26797736,-0.0780303461022318,1
39,32,32,0.1,0.12928739,0.29275265,-0.3436528016037852,1
40,32,32,0.1,0.15266421,0.3068138,-0.8430089989573226,1
41,32,32,0.1,0.34232408,0.4325785,-3.294545357872045,1
42,32,32,0.1,0.115016356,0.26903263,-0.10732674042093526,1
43,32,32,0.1,0.118587136,0.26897857,-0.18367335493735593,1
44,32,32,0.1,0.16123274,0.33053035,-0.596643648835832,1
45,32,32,0.1,0.14692484,0.28301683,-0.34637106017964614,1
46,32,32,0.1,0.11320229,0.25291947,-0.08232083208224594,1
47,32,32,0.1,0.109211706,0.25717065,-0.15652420454376692,1
48,32,32,0.1,0.09833435,0.23873177,-0.013741917894604994,1
49,32,32,0.1,0.12035719,0.25496382,-0.14973400192879693,1
50,32,32,0.2,0.1308616,0.28669795,-0.6173289768805084,1
51,32,32,0.2,0.1126755,0.2789884,-0.01973134273741417,1
52,32,32,0.2,0.118470214,0.25987187,-0.07183539862161825,1
53,32,32,0.2,0.11502215,0.2696247,-0.04940679892325117,1
54,32,32,0.2,0.14128192,0.2864985,-0.38276635187302643,1
55,32,32,0.2,0.16105466,0.32826805,-0.6577967823362616,1
56,32,32,0.2,0.10972616,0.2502051,-0.07302080959578183,1
57,32,32,0.2,0.08037177,0.22992922,-0.09541653763478619,1
58,32,32,0.2,0.12958685,0.27199876,-0.16837881353488915,1
59,32,32,0.2,0.1278361,0.28144604,-0.16231270394614494,1
60,32,32,0.2,0.1446924,0.29167685,-0.35382819838029356,1
61,32,32,0.2,0.14369795,0.29222092,-0.29169817099676143,1
62,32,32,0.2,0.31492126,0.4257301,-2.5821338704948276,1
63,32,32,0.2,0.14920162,0.2980276,-0.3301392669754257,1
64,32,32,0.2,0.10619612,0.26519075,-0.03510666600460466,1
65,32,32,0.2,0.087291636,0.2379675,-0.1425978978906033,1
66,32,32,0.2,0.14755088,0.2675707,-0.29754149590244294,1
67,32,32,0.2,0.14452231,0.2956096,-0.6302970644383041,1
68,32,32,0.2,0.121169515,0.27366322,-0.08401528537143665,1
69,32,32,0.2,0.22996747,0.35894886,-1.8923013683238445,1
70,32,32,0.2,0.116854735,0.28230757,-0.14418432621341792,1
71,32,32,0.2,0.1183672,0.26517892,-0.09041700917228757,1
72,32,32,0.2,0.12017876,0.27796802,-0.09484404793306722,1
73,32,32,0.2,0.121673636,0.26827446,-0.10208864865216705,1
74,32,32,0.2,0.11326465,0.27319077,-0.04993371543174785,1
75,32,32,0.2,0.11734354,0.2664388,-0.1099805940408265,1
76,32,32,0.2,0.29702678,0.40451467,-2.673233186071903,1
77,32,32,0.2,0.13133772,0.2955502,-0.24011500925470064,1
78,32,32,0.2,0.13388939,0.29334491,-0.39033437874690335,1
79,32,32,0.2,0.13555247,0.27351123,-0.3936765455311271,1
80,32,32,0.2,0.12225316,0.26695138,-0.08965584497592682,1
81,32,32,0.2,0.12167021,0.27088767,-0.11756113052121209,1
82,32,32,0.2,0.1400322,0.29278883,-0.20518154973224356,1
83,32,32,0.2,0.13759863,0.27078447,-0.24634658192863412,1
84,32,32,0.2,0.11610877,0.26527178,-0.10240215597176672,1
85,32,32,0.2,0.16477464,0.31146476,-0.5443889798839305,1
86,32,32,0.2,0.12957005,0.2919953,-0.5800884859945619,1
87,32,32,0.2,0.16169062,0.29721802,-0.41953944665088305,1
88,32,32,0.2,0.15804245,0.3090757,-0.4823321995057912,1
89,32,32,0.2,0.13911825,0.2630484,-0.24618678976461306,1
90,32,32,0.2,0.1256627,0.28219613,-0.251426613398509,1
91,32,32,0.2,0.0954973,0.246528,-0.15821833965129373,1
92,32,32,0.2,0.087617226,0.22972491,-0.0874556340346555,1
93,32,32,0.2,0.11295466,0.2588709,-0.07999693936758479,1
94,32,32,0.2,0.13024233,0.28259936,-0.5525199770070968,1
95,32,32,0.2,0.12073531,0.28178445,-0.27199130635579216,1
96,32,32,0.2,0.1313693,0.2919739,-0.5097967265190968,1
97,32,32,0.2,0.19531928,0.36932668,-1.3917263491183536,1
98,32,32,0.2,0.12321135,0.26254869,-0.46693647486816503,1
99,32,32,0.2,0.10800341,0.25308982,0.0018829293971477368,1
100,32,32,0.3,0.10080587,0.25128093,-0.08683227897799073,1
101,32,32,0.3,0.11330599,0.26346958,-0.09313963544655701,1
102,32,32,0.3,0.11882125,0.27071264,-0.07929966935418453,1
103,32,32,0.3,0.13231154,0.26258987,-0.14730434045748764,1
104,32,32,0.3,0.21769677,0.34366566,-1.658833646260284,1
105,32,32,0.3,0.09786311,0.27088395,-0.1907525951738096,1
106,32,32,0.3,0.11362152,0.27706337,-0.5883654829282816,1
107,32,32,0.3,0.13213904,0.27302164,-0.0994414233409664,1
