,tol_inf,tol_sup,embedding_d,train_split,dropout,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
0,0.1,0.5,16,0.2,0.3,0.7450980392156863,0.7755102040816326,0.76,49,0.35294117647058826,0.3157894736842105,0.33333333333333337,19,0.5490196078431373,0.5456498388829216,0.5466666666666666,68,0.6355247981545559,0.6470588235294118,0.6407843137254903,68,0.6470588235294118
1,0.1,0.5,16,0.2,0.3,0.84,0.42857142857142855,0.5675675675675675,49,0.3488372093023256,0.7894736842105263,0.48387096774193555,19,0.5944186046511628,0.6090225563909775,0.5257192676547515,68,0.7027633378932968,0.5294117647058824,0.5441817529104057,68,0.5294117647058824
2,0.1,0.5,16,0.2,0.3,0.918918918918919,0.6938775510204082,0.7906976744186046,49,0.5161290322580645,0.8421052631578947,0.6399999999999999,19,0.7175239755884917,0.7679914070891514,0.7153488372093022,68,0.8063746858813273,0.7352941176470589,0.7485909712722298,68,0.7352941176470589
3,0.1,0.5,16,0.2,0.3,0.76,0.3877551020408163,0.5135135135135135,49,0.3023255813953488,0.6842105263157895,0.41935483870967744,19,0.5311627906976744,0.535982814178303,0.46643417611159543,68,0.6321203830369357,0.47058823529411764,0.48720447202420636,68,0.47058823529411764
4,0.1,0.5,16,0.2,0.3,0.8387096774193549,0.5306122448979592,0.65,49,0.3783783783783784,0.7368421052631579,0.5,19,0.6085440278988666,0.6337271750805585,0.575,68,0.7100876968049644,0.5882352941176471,0.6080882352941177,68,0.5882352941176471
5,0.1,0.5,16,0.2,0.3,0.9583333333333334,0.46938775510204084,0.6301369863013699,49,0.4090909090909091,0.9473684210526315,0.5714285714285715,19,0.6837121212121212,0.7083780880773362,0.6007827788649707,68,0.8048685383244207,0.6029411764705882,0.6137331644986763,68,0.6029411764705882
6,0.1,0.5,16,0.2,0.3,0.8653846153846154,0.9183673469387755,0.8910891089108911,49,0.75,0.631578947368421,0.6857142857142857,19,0.8076923076923077,0.7749731471535983,0.7884016973125885,68,0.8331447963800905,0.8382352941176471,0.8337049671353691,68,0.8382352941176471
7,0.1,0.5,16,0.2,0.3,0.8,0.8163265306122449,0.8080808080808082,49,0.5,0.47368421052631576,0.4864864864864865,19,0.65,0.6450053705692803,0.6472836472836474,68,0.7161764705882353,0.7205882352941176,0.7182235711647477,68,0.7205882352941176
8,0.1,0.5,16,0.2,0.3,0.8214285714285714,0.46938775510204084,0.5974025974025974,49,0.35,0.7368421052631579,0.47457627118644063,19,0.5857142857142856,0.6031149301825993,0.5359894342945191,68,0.6897058823529412,0.5441176470588235,0.5630834768422007,68,0.5441176470588235
9,0.1,0.5,16,0.2,0.3,0.84,0.8571428571428571,0.8484848484848485,49,0.6111111111111112,0.5789473684210527,0.5945945945945946,19,0.7255555555555555,0.7180451127819549,0.7215397215397216,68,0.7760457516339869,0.7794117647058824,0.7775449246037481,68,0.7794117647058824
10,0.1,0.5,16,0.2,0.3,0.8888888888888888,0.4897959183673469,0.631578947368421,49,0.3902439024390244,0.8421052631578947,0.5333333333333333,19,0.6395663956639566,0.6659505907626209,0.5824561403508772,68,0.7495616132631914,0.5882352941176471,0.6041279669762641,68,0.5882352941176471
11,0.1,0.5,16,0.2,0.3,0.7948717948717948,0.6326530612244898,0.7045454545454547,49,0.3793103448275862,0.5789473684210527,0.45833333333333337,19,0.5870910698496905,0.6058002148227712,0.581439393939394,68,0.6787590367712071,0.6176470588235294,0.6357508912655973,68,0.6176470588235294
12,0.1,0.5,16,0.2,0.3,0.868421052631579,0.673469387755102,0.7586206896551724,49,0.4666666666666667,0.7368421052631579,0.5714285714285714,19,0.6675438596491228,0.7051557465091299,0.6650246305418719,68,0.7561661506707946,0.6911764705882353,0.7063170095624456,68,0.6911764705882353
13,0.1,0.5,16,0.2,0.3,0.9411764705882353,0.6530612244897959,0.7710843373493975,49,0.5,0.8947368421052632,0.6415094339622641,19,0.7205882352941176,0.7738990332975295,0.7062968856558308,68,0.8179065743944637,0.7205882352941176,0.7348795849324044,68,0.7205882352941176
14,0.1,0.5,16,0.2,0.3,0.8627450980392157,0.8979591836734694,0.8799999999999999,49,0.7058823529411765,0.631578947368421,0.6666666666666667,19,0.7843137254901962,0.7647690655209451,0.7733333333333333,68,0.8189158016147635,0.8235294117647058,0.820392156862745,68,0.8235294117647058
15,0.1,0.5,16,0.2,0.3,0.85,0.6938775510204082,0.7640449438202247,49,0.4642857142857143,0.6842105263157895,0.5531914893617021,19,0.6571428571428571,0.6890440386680988,0.6586182165909634,68,0.7422268907563024,0.6911764705882353,0.7051300080156375,68,0.6911764705882353
16,0.1,0.5,16,0.2,0.3,0.7894736842105263,0.9183673469387755,0.8490566037735849,49,0.6363636363636364,0.3684210526315789,0.4666666666666667,19,0.7129186602870814,0.6433941997851772,0.6578616352201259,68,0.7466929355474247,0.7647058823529411,0.7422123566407696,68,0.7647058823529411
17,0.1,0.5,16,0.2,0.3,0.8135593220338984,0.9795918367346939,0.888888888888889,49,0.8888888888888888,0.42105263157894735,0.5714285714285714,19,0.8512241054613936,0.7003222341568206,0.7301587301587302,68,0.834607289243381,0.8235294117647058,0.8001867413632119,68,0.8235294117647058
