,embedding_d,channels,train_split,mse,mae,r2
0,32,32,0.1,0.10075163,0.17187245,-0.10177106706377215
1,32,32,0.1,0.106116176,0.19061191,-0.2769455273506547
2,32,32,0.1,0.093081586,0.1642564,-0.014441291929271127
3,32,32,0.1,0.11530623,0.25341976,-0.4841901672000106
4,32,32,0.1,0.084247835,0.14462884,0.0006299740649388097
5,32,32,0.1,0.22371729,0.35445738,-1.8900092626234395
6,32,32,0.1,0.0922864,0.17893039,-0.11992462008603821
7,32,32,0.1,0.1078546,0.19441047,-0.27839637012694984
8,32,32,0.1,0.0969914,0.16107215,-0.04555592941848774
9,32,32,0.1,0.13913223,0.24162918,-0.6525245627153633
10,32,32,0.1,0.09259489,0.18178555,-0.08293430484923325
11,32,32,0.1,0.10190218,0.21745485,-0.3121992443865078
12,32,32,0.1,0.09024153,0.16077209,-0.07434206097844487
13,32,32,0.1,0.08469719,0.14815967,-0.0029319106782763615
14,32,32,0.1,0.094406225,0.16332062,-0.050449141955147825
15,32,32,0.1,0.09668493,0.16463575,-0.05410000834730222
16,32,32,0.1,0.085885376,0.16222356,-0.024900195971561345
17,32,32,0.1,0.0700043,0.1352831,0.006305411579697773
18,32,32,0.1,0.0795069,0.15022583,-0.04321399365437517
19,32,32,0.1,0.09596403,0.18052089,-0.16815904318173858
20,32,32,0.1,0.10970316,0.21898958,-0.34540477027855077
21,32,32,0.1,0.09986097,0.2066415,-0.19094686821864637
22,32,32,0.1,0.09879839,0.16648799,-0.08542945387510548
23,32,32,0.1,0.09504194,0.22089541,-0.22830910853186803
24,32,32,0.1,0.09358214,0.16453251,-0.013863516710550083
25,32,32,0.1,0.09671418,0.17209047,-0.12940293435907924
26,32,32,0.1,0.09362926,0.21348812,-0.3386829373188116
27,32,32,0.1,0.079919256,0.15858527,-0.045077322396876784
28,32,32,0.1,0.0847512,0.15896307,-0.03072343431430502
29,32,32,0.1,0.100260876,0.19441079,-0.268983411104635
30,32,32,0.1,0.10158009,0.18464312,-0.1339343795262462
31,32,32,0.1,0.08379929,0.1489607,-0.020039680284125838
32,32,32,0.1,0.08262168,0.1677379,-0.1146448692753459
33,32,32,0.1,0.096927814,0.21580967,-0.27281853881959095
34,32,32,0.1,0.082267314,0.14673263,0.026178700789032283
35,32,32,0.1,0.17496231,0.31868285,-1.2551077879314287
36,32,32,0.1,0.10039095,0.20106845,-0.5103106515000035
37,32,32,0.1,0.09470434,0.16283375,-0.0490261006180841
38,32,32,0.1,0.2166128,0.37643376,-1.7933197892572932
39,32,32,0.1,0.09860487,0.16705024,-0.08563843943590044
40,32,32,0.1,0.0924077,0.15824683,-0.020733095109213062
41,32,32,0.1,0.09094194,0.1558929,0.01418505009558102
42,32,32,0.1,0.08711098,0.16512936,-0.030067745458079553
43,32,32,0.1,0.15448897,0.29986748,-1.0223333352089612
44,32,32,0.1,0.095130995,0.16775645,-0.11618579649630156
45,32,32,0.1,0.086720675,0.16796191,-0.025922386125796004
46,32,32,0.1,0.09494326,0.16223477,-0.03260944135197308
47,32,32,0.1,0.11573034,0.20062178,-0.38170987369989207
48,32,32,0.1,0.09178164,0.17533696,-0.07367941483886953
49,32,32,0.1,0.09135218,0.16196193,-0.08863920412335458
50,32,32,0.2,0.10520011,0.23524095,-0.6515646239822306
51,32,32,0.2,0.07437719,0.1472724,-0.019633534708003886
52,32,32,0.2,0.08764308,0.14966571,0.04246868656089209
53,32,32,0.2,0.08722255,0.15989347,-0.024823761028659463
54,32,32,0.2,0.09993184,0.16663615,-0.013456172617814177
55,32,32,0.2,0.08087063,0.16146332,-0.06053997592338933
56,32,32,0.2,0.10102825,0.18012336,-0.19196255486337543
57,32,32,0.2,0.08422023,0.16200995,0.01674187400212568
58,32,32,0.2,0.09148353,0.16028973,-0.03522401137716802
59,32,32,0.2,0.0915699,0.15737931,-0.06353607781824011
60,32,32,0.2,0.083463445,0.14773667,-0.05564040395289038
61,32,32,0.2,0.08956583,0.15826555,-0.02571148721613925
62,32,32,0.2,0.083238594,0.18828079,-0.33403875752388346
63,32,32,0.2,0.09612161,0.17591798,-0.022935882441331712
64,32,32,0.2,0.10960952,0.17951885,-0.11055423740935
65,32,32,0.2,0.09595205,0.15466416,-0.05264586425160078
66,32,32,0.2,0.08402385,0.14504613,0.016926331139896167
67,32,32,0.2,0.09336877,0.1589029,-0.01976687668747079
68,32,32,0.2,0.08662691,0.16118252,-0.007281259679177365
69,32,32,0.2,0.0832453,0.15664676,0.012908254900117377
70,32,32,0.2,0.1023646,0.1721358,-0.005737261163472729
71,32,32,0.2,0.10921739,0.17955868,-0.10576758746997217
72,32,32,0.2,0.07777218,0.15087019,-0.03565778155669541
73,32,32,0.2,0.08032962,0.15160118,-0.05849072551020007
74,32,32,0.2,0.09724202,0.18839385,-0.22410313262684833
75,32,32,0.2,0.087206446,0.1506511,-0.08547872769597742
76,32,32,0.2,0.07871008,0.1696242,-0.167083851373925
77,32,32,0.2,0.09105705,0.15642256,-0.08004006226837213
78,32,32,0.2,0.09745654,0.16346706,-0.11033036608721836
79,32,32,0.2,0.085445434,0.1617204,-0.12047205484099743
80,32,32,0.2,0.11662879,0.2327744,-0.48416562673633634
81,32,32,0.2,0.10294605,0.17152585,-0.013022485734413891
82,32,32,0.2,0.08267652,0.14288713,0.014654898406146089
83,32,32,0.2,0.074742116,0.18781704,-0.297878444553344
84,32,32,0.2,0.079619445,0.14666669,-0.047166813162854204
85,32,32,0.2,0.08255862,0.15327683,-0.04189450032697328
86,32,32,0.2,0.07476723,0.15817034,-0.05175359023451631
87,32,32,0.2,0.1310401,0.2702687,-0.8647477156929686
88,32,32,0.2,0.08906787,0.14701271,0.015463269368408472
89,32,32,0.2,0.10755349,0.1877889,-0.11538195525345918
90,32,32,0.2,0.10683093,0.19498982,-0.13789668229763752
91,32,32,0.2,0.070334435,0.14051835,-0.03915427557461637
92,32,32,0.2,0.11881154,0.22245325,-0.38867137090553205
93,32,32,0.2,0.08854654,0.1641658,-0.06345288335894206
94,32,32,0.2,0.10474362,0.18365473,-0.13949027863388053
95,32,32,0.2,0.07906909,0.14514112,-0.08381146956954733
96,32,32,0.2,0.0678791,0.15308948,-0.200418789667846
97,32,32,0.2,0.107528515,0.17920724,-0.1628903304881082
98,32,32,0.2,0.09712915,0.15835333,-0.06388191997035264
99,32,32,0.2,0.112820245,0.18893836,-0.1815140887989526
100,32,32,0.3,0.10801167,0.17054711,-0.0142651366406783
101,32,32,0.3,0.09134773,0.14907707,-0.012580480646896985
102,32,32,0.3,0.072608,0.13481773,-0.0025481721805542534
103,32,32,0.3,0.08316757,0.138302,-0.06207471011108656
104,32,32,0.3,0.06031213,0.11710558,0.027911224217100905
105,32,32,0.3,0.08041738,0.17497325,-0.26820942674616566
106,32,32,0.3,0.085745946,0.153,0.03235221442562286
107,32,32,0.3,0.08208031,0.1465927,7.079866497639031e-05
108,32,32,0.3,0.101861835,0.15934929,0.006190964720407699
109,32,32,0.3,0.107356176,0.19316953,-0.21884896429093104
110,32,32,0.3,0.08811694,0.14683443,-0.10035393007503668
111,32,32,0.3,0.08159385,0.150692,0.018993329737514775
112,32,32,0.3,0.09013931,0.15955675,0.04642383049617704
113,32,32,0.3,0.081811205,0.14860937,0.02603506251166343
114,32,32,0.3,0.09366453,0.16178447,-0.032082952176123
115,32,32,0.3,0.10015517,0.16582088,-0.10195208131393718
116,32,32,0.3,0.09867788,0.17767073,-0.1542187848984895
117,32,32,0.3,0.079141386,0.15066716,-0.09080663717317838
118,32,32,0.3,0.09578535,0.18059012,-0.14047241651967868
119,32,32,0.3,0.08888597,0.15865089,-0.035955961121371116
120,32,32,0.3,0.09346105,0.15670368,-0.014847074261182591
121,32,32,0.3,0.10848372,0.18115215,-0.15556746288604395
122,32,32,0.3,0.11284658,0.19308814,-0.2160566416858185
123,32,32,0.3,0.07366621,0.14117822,0.02246540911958428
124,32,32,0.3,0.099390075,0.16085413,-0.07449648117716268
125,32,32,0.3,0.06985227,0.15619877,-0.09532838467012206
126,32,32,0.3,0.07816833,0.17551246,-0.18209070849557207
127,32,32,0.3,0.08380548,0.14240581,0.012082118269842068
128,32,32,0.3,0.07859385,0.15154885,-0.0627441446597421
129,32,32,0.3,0.07635219,0.14222442,-0.05321308388133672
130,32,32,0.3,0.086329184,0.1622383,-0.0025118593907955677
131,32,32,0.3,0.10823429,0.18092348,-0.10503298370193614
132,32,32,0.3,0.08678426,0.15115255,-0.06571677442787416
133,32,32,0.3,0.11527795,0.17502023,-0.019396367016106586
134,32,32,0.3,0.09619159,0.16385907,-0.013607221168350447
135,32,32,0.3,0.07985206,0.1493335,-0.11673058551905324
136,32,32,0.3,0.075897045,0.16879387,-0.13404683182776234
137,32,32,0.3,0.09336435,0.16108635,-0.06033279359895083
138,32,32,0.3,0.13516422,0.24891405,-0.4165978856827832
139,32,32,0.3,0.10799581,0.1996417,-0.33670918096205793
140,32,32,0.3,0.113689564,0.19869405,-0.26602405071681057
141,32,32,0.3,0.10455481,0.1824845,-0.07908575819926411
142,32,32,0.3,0.091523066,0.20498987,-0.5006875972046665
143,32,32,0.3,0.08372039,0.15029074,0.003702722563570071
144,32,32,0.3,0.07949172,0.14424753,-0.06950367825035175
145,32,32,0.3,0.083007574,0.14722419,0.0076990514192757376
146,32,32,0.3,0.10658997,0.18704422,-0.14277857828822982
147,32,32,0.3,0.078042224,0.13802601,0.034940900534490726
148,32,32,0.3,0.10461237,0.16350153,-0.053470398217827286
149,32,32,0.3,0.102687865,0.19207114,-0.26885390051527835
150,32,32,0.4,0.09591675,0.15691575,-0.03671959766811672
151,32,32,0.4,0.08999884,0.15516613,0.03206168641179996
152,32,32,0.4,0.073193304,0.14335851,0.006960479466287972
153,32,32,0.4,0.10553732,0.1609747,-0.03122086967876636
154,32,32,0.4,0.10489933,0.15963677,-0.008447534240574983
155,32,32,0.4,0.097935975,0.16823032,-0.0021469644494644946
156,32,32,0.4,0.07092926,0.13920422,0.007364339587087487
157,32,32,0.4,0.085799284,0.14967565,-0.02179716756840211
158,32,32,0.4,0.0723383,0.13985673,-0.06129190986148969
159,32,32,0.4,0.0776318,0.15261854,0.0011869506556182463
160,32,32,0.4,0.09077577,0.1615001,-0.05685300467003662
161,32,32,0.4,0.11777832,0.18185812,-0.06024221271618413
162,32,32,0.4,0.08947391,0.15877879,-0.09622112657037607
163,32,32,0.4,0.08603772,0.16053279,-0.0070870737973469655
164,32,32,0.4,0.11426951,0.21208514,-0.3285219687865202
165,32,32,0.4,0.1039047,0.16478775,-0.04226678075651513
166,32,32,0.4,0.06342482,0.12959109,0.0457698790912201
167,32,32,0.4,0.086919636,0.15085004,-0.058933629473792326
