,embedding_d,channels,train_split,mse,mae,r2
65,32,32,0.2,0.5568944,0.5575493,-0.30762379189908984
66,32,32,0.2,0.40252733,0.47111034,-0.11394495816782713
67,32,32,0.2,0.49547586,0.63109905,-0.2100838389794002
68,32,32,0.2,0.5186332,0.5318032,-0.2616600315932307
69,32,32,0.2,0.40199378,0.48005468,-0.1540024142892189
70,32,32,0.2,0.480563,0.62285405,-0.3535697825194999
71,32,32,0.2,0.80071926,0.7263413,-1.2527170694225953
72,32,32,0.2,0.8596317,0.7326501,-1.379498525657815
73,32,32,0.2,0.43068236,0.5896638,-0.2760037733826557
74,32,32,0.2,0.72825307,0.64925516,-1.029923206539522
75,32,32,0.2,0.7287267,0.6423825,-1.09576761009476
76,32,32,0.2,0.46139425,0.5803159,-0.34086679445615564
77,32,32,0.2,0.41477132,0.517084,-0.0816106340795173
78,32,32,0.2,0.5586048,0.59240144,-0.4487423149319292
79,32,32,0.2,0.5167858,0.5706219,-0.2943552491031798
80,32,32,0.2,0.5152032,0.53353494,-0.3072773687038224
81,32,32,0.2,0.5348523,0.64077884,-0.5398895334673279
82,32,32,0.2,0.43056488,0.526403,-0.01692103303136072
83,32,32,0.2,0.48567265,0.5324418,-0.05819708340963392
84,32,32,0.2,0.38971305,0.44954568,-0.045534193580909266
85,32,32,0.2,0.52090234,0.5117849,-0.3648508050217596
86,32,32,0.2,0.35439095,0.48215908,0.048476401616627696
87,32,32,0.2,0.48906276,0.5243674,-0.27275575789258366
88,32,32,0.2,0.54358053,0.60097533,-0.5783207204083474
89,32,32,0.2,0.39576718,0.4812732,-0.11938246238802819
90,32,32,0.2,0.65720356,0.636498,-0.7154612228618138
91,32,32,0.2,0.45117956,0.52702755,-0.11942038473070737
92,32,32,0.2,0.49040106,0.5190111,-0.2135437272378915
93,32,32,0.2,0.4552168,0.5181897,-0.03480058053747226
94,32,32,0.2,0.717159,0.6647778,-0.9627711223374966
95,32,32,0.2,0.6419142,0.6649718,-0.8184902254845949
96,32,32,0.2,0.80041975,0.6782017,-0.9845313289050477
97,32,32,0.2,0.46082073,0.5868119,-0.14638884541725994
98,32,32,0.2,0.75356144,0.7139136,-0.9650146747908959
99,32,32,0.2,0.63614595,0.7433676,-0.7508194755075579
100,32,32,0.3,0.49915105,0.5144565,-0.3041336529399479
101,32,32,0.3,0.5785901,0.57584816,-0.4063154527820867
102,32,32,0.3,0.64365876,0.6167462,-0.33019954835264653
103,32,32,0.3,0.61545706,0.58823943,-0.689457196448203
104,32,32,0.3,0.9431096,0.84355074,-2.223093354237185
105,32,32,0.3,0.5440485,0.55179656,-0.3278144605219855
106,32,32,0.3,0.6868616,0.58472705,-0.6587324317830585
107,32,32,0.3,0.416438,0.523186,0.00887444451619257
108,32,32,0.3,0.33681002,0.50167555,0.0481354348895453
109,32,32,0.3,0.45852336,0.5776247,-0.016715744903963214
110,32,32,0.3,0.545927,0.59659374,-0.18822228152804477
111,32,32,0.3,0.42408097,0.55167055,0.07363404229782633
112,32,32,0.3,0.65451425,0.6134336,-0.4312207753998072
113,32,32,0.3,0.6308878,0.58557504,-0.4082167076958303
114,32,32,0.3,0.61120737,0.6933831,-0.5253741530641769
115,32,32,0.3,0.4979427,0.5614133,-0.15805279461093624
116,32,32,0.3,0.4845299,0.53647417,-0.12096318681106766
117,32,32,0.3,0.6625404,0.6168527,-0.6537183954165335
118,32,32,0.3,0.4597218,0.51061845,-0.07101223209453433
119,32,32,0.3,0.46836704,0.491259,-0.21507153435499693
120,32,32,0.3,0.51238114,0.60332745,-0.4495957840453122
121,32,32,0.3,0.4010474,0.567601,-0.07148731961665433
122,32,32,0.3,0.46331283,0.5653453,-0.08914358686316048
123,32,32,0.3,0.6034631,0.70960313,-0.7206553020466675
124,32,32,0.3,0.39778274,0.43032113,-0.012885946952451821
125,32,32,0.3,0.6354984,0.6074113,-0.4655806887107663
126,32,32,0.3,0.5242456,0.53018975,-0.23323249742970753
127,32,32,0.3,0.48649132,0.50430834,-0.19224685052114343
128,32,32,0.3,0.6584809,0.65150815,-0.6967240953990075
129,32,32,0.3,0.44539043,0.50418013,-0.27482886458997546
130,32,32,0.3,0.53827184,0.6470975,-0.5520816893780238
131,32,32,0.3,0.7006463,0.6199964,-0.7900543042430157
132,32,32,0.3,0.53791,0.60250014,-0.7369269836074119
133,32,32,0.3,0.73559016,0.6671298,-0.7818369919505346
134,32,32,0.3,0.4068166,0.57040054,-0.3577665910154235
135,32,32,0.3,0.31496495,0.430357,0.05228594005863496
136,32,32,0.3,0.48609063,0.57595724,-0.21505312293633705
137,32,32,0.3,0.6037187,0.6097159,-0.5785742653848942
138,32,32,0.3,0.56325805,0.59924036,-0.3962236270350614
139,32,32,0.3,0.6226336,0.6187099,-0.6228461724516965
140,32,32,0.3,0.45725375,0.5959236,-0.3289816119415023
141,32,32,0.3,0.64892393,0.6263318,-0.6751033469894332
142,32,32,0.3,0.42171952,0.49805367,0.021020070183510486
