,tol_inf,tol_sup,embedding_d,train_split,dropout,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,non-critical_precision,non-critical_recall,non-critical_f1-score,non-critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
0,0.1,0.5,16,0.2,0.3,0.6774193548387096,0.875,0.7636363636363636,48,0.2857142857142857,0.08695652173913043,0.13333333333333333,23,0.0,0.0,0.0,4,0.3210445468509984,0.32065217391304346,0.298989898989899,75,0.5211674347158218,0.5866666666666667,0.5296161616161615,75,0.5866666666666667
1,0.1,0.5,16,0.2,0.3,0.6785714285714286,0.3958333333333333,0.5,48,0.2727272727272727,0.2608695652173913,0.2666666666666666,23,0.08,0.5,0.13793103448275865,4,0.3437662337662338,0.38556763285024154,0.3015325670498084,75,0.5221887445887445,0.36,0.40913409961685826,75,0.36
2,0.1,0.5,16,0.2,0.3,0.7058823529411765,0.25,0.36923076923076925,48,0.35714285714285715,0.6521739130434783,0.4615384615384615,23,0.0625,0.25,0.1,4,0.3751750700280112,0.38405797101449274,0.3102564102564102,75,0.5646218487394958,0.37333333333333335,0.38317948717948713,75,0.37333333333333335
3,0.1,0.5,16,0.2,0.3,0.6739130434782609,0.6458333333333334,0.6595744680851064,48,0.35294117647058826,0.2608695652173913,0.3,23,0.08333333333333333,0.25,0.125,4,0.37006251776072746,0.38556763285024154,0.36152482269503544,75,0.5439840863881785,0.5066666666666667,0.5207943262411348,75,0.5066666666666667
4,0.1,0.5,16,0.2,0.3,1.0,0.16666666666666666,0.2857142857142857,48,0.8,0.17391304347826086,0.2857142857142857,23,0.04838709677419355,0.75,0.0909090909090909,4,0.6161290322580645,0.3635265700483092,0.22077922077922077,75,0.8879139784946236,0.2,0.2753246753246753,75,0.2
5,0.1,0.5,16,0.2,0.3,1.0,0.041666666666666664,0.07999999999999999,48,0.3888888888888889,0.9130434782608695,0.5454545454545454,23,0.0,0.0,0.0,4,0.46296296296296297,0.3182367149758454,0.20848484848484847,75,0.7592592592592592,0.30666666666666664,0.21847272727272724,75,0.30666666666666664
6,0.1,0.5,16,0.2,0.3,0.5555555555555556,0.20833333333333334,0.30303030303030304,48,0.3541666666666667,0.7391304347826086,0.4788732394366197,23,0.1111111111111111,0.25,0.15384615384615383,4,0.34027777777777785,0.3991545893719806,0.3119165654376922,75,0.47009259259259256,0.37333333333333335,0.34899898223841885,75,0.37333333333333335
7,0.1,0.5,16,0.2,0.3,0.675,0.5625,0.6136363636363636,48,0.34782608695652173,0.34782608695652173,0.34782608695652173,23,0.08333333333333333,0.25,0.125,4,0.36871980676328503,0.3867753623188406,0.3621541501976284,75,0.5431111111111112,0.48,0.506060606060606,75,0.48
8,0.1,0.5,16,0.2,0.3,0.6865671641791045,0.9583333333333334,0.8,48,1.0,0.13043478260869565,0.23076923076923078,23,0.2,0.25,0.22222222222222224,4,0.6288557213930348,0.44625603864734303,0.4176638176638177,75,0.7567363184079602,0.6666666666666666,0.5946210826210826,75,0.6666666666666666
9,0.1,0.5,16,0.2,0.3,0.5625,0.375,0.45,48,0.75,0.13043478260869565,0.22222222222222218,23,0.0,0.0,0.0,4,0.4375,0.16847826086956522,0.22407407407407406,75,0.59,0.28,0.35614814814814816,75,0.28
10,0.1,0.5,16,0.2,0.3,0.6271186440677966,0.7708333333333334,0.6915887850467289,48,0.45454545454545453,0.21739130434782608,0.29411764705882354,23,0.0,0.0,0.0,4,0.3605546995377504,0.3294082125603865,0.3285688107018508,75,0.5407498715973292,0.56,0.5328129008612791,75,0.56
11,0.1,0.5,16,0.2,0.3,0.7380952380952381,0.6458333333333334,0.6888888888888889,48,0.375,0.2608695652173913,0.30769230769230765,23,0.058823529411764705,0.25,0.09523809523809523,4,0.39063958916900093,0.38556763285024154,0.36393976393976396,75,0.5905182072829132,0.5066666666666667,0.5403272283272282,75,0.5066666666666667
12,0.1,0.5,16,0.2,0.3,0.7346938775510204,0.75,0.7422680412371135,48,0.5454545454545454,0.2608695652173913,0.3529411764705882,23,0.13333333333333333,0.5,0.2105263157894737,4,0.4711605854462997,0.5036231884057971,0.4352451778323918,75,0.6445879200164915,0.5866666666666667,0.5945149106848384,75,0.5866666666666667
13,0.1,0.5,16,0.2,0.3,0.7058823529411765,0.5,0.5853658536585366,48,0.29411764705882354,0.43478260869565216,0.3508771929824562,23,0.0,0.0,0.0,4,0.3333333333333333,0.3115942028985507,0.3120810155469976,75,0.5419607843137255,0.4533333333333333,0.48223648552274995,75,0.4533333333333333
14,0.1,0.5,16,0.2,0.3,0.5652173913043478,0.5416666666666666,0.5531914893617021,48,0.0625,0.043478260869565216,0.05128205128205128,23,0.0,0.0,0.0,4,0.2092391304347826,0.19504830917874394,0.20149118021458448,75,0.3809057971014493,0.36,0.36976904891798507,75,0.36
15,0.1,0.5,16,0.2,0.3,0.6071428571428571,0.7083333333333334,0.6538461538461539,48,0.36363636363636365,0.17391304347826086,0.2352941176470588,23,0.0,0.0,0.0,4,0.3235930735930736,0.29408212560386476,0.29638009049773756,75,0.50008658008658,0.5066666666666667,0.4906184012066366,75,0.5066666666666667
16,0.1,0.5,16,0.2,0.3,0.45454545454545453,0.20833333333333334,0.28571428571428575,48,0.25,0.13043478260869565,0.1714285714285714,23,0.07317073170731707,0.75,0.13333333333333333,4,0.25923872875092385,0.36292270531400966,0.19682539682539682,75,0.3714781966001478,0.21333333333333335,0.24253968253968258,75,0.21333333333333335
17,0.1,0.5,16,0.2,0.3,0.725,0.6041666666666666,0.6590909090909091,48,0.7647058823529411,0.5652173913043478,0.65,23,0.05555555555555555,0.25,0.0909090909090909,4,0.5150871459694989,0.4731280193236715,0.4666666666666666,75,0.7014727668845315,0.5733333333333334,0.626,75,0.5733333333333334
18,0.1,0.5,16,0.2,0.3,0.6818181818181818,0.625,0.6521739130434783,48,0.46153846153846156,0.2608695652173913,0.33333333333333337,23,0.05555555555555555,0.25,0.0909090909090909,4,0.39963739963739964,0.3786231884057971,0.35880544576196755,75,0.580865060865061,0.49333333333333335,0.5244620114185332,75,0.49333333333333335
19,0.1,0.5,16,0.2,0.3,0.631578947368421,0.25,0.3582089552238806,48,0.375,0.391304347826087,0.3829787234042554,23,0.0,0.0,0.0,4,0.3355263157894737,0.21376811594202896,0.24706255954271197,75,0.5192105263157895,0.28,0.3467005398539219,75,0.28
20,0.1,0.5,16,0.2,0.3,0.85,0.3541666666666667,0.5,48,0.42105263157894735,0.34782608695652173,0.380952380952381,23,0.08333333333333333,0.75,0.15,4,0.45146198830409356,0.48399758454106284,0.3436507936507936,75,0.6775672514619883,0.37333333333333335,0.4448253968253968,75,0.37333333333333335
21,0.1,0.5,16,0.2,0.3,1.0,0.4583333333333333,0.6285714285714286,48,0.6551724137931034,0.8260869565217391,0.7307692307692308,23,0.125,0.75,0.21428571428571427,4,0.5933908045977011,0.6781400966183574,0.5245421245421246,75,0.8475862068965517,0.5866666666666667,0.6378168498168498,75,0.5866666666666667
22,0.1,0.5,16,0.2,0.3,1.0,0.0625,0.11764705882352941,48,0.40816326530612246,0.8695652173913043,0.5555555555555556,23,0.0,0.0,0.0,4,0.46938775510204084,0.31068840579710144,0.224400871459695,75,0.7651700680272109,0.30666666666666664,0.2456644880174292,75,0.30666666666666664
23,0.1,0.5,16,0.2,0.3,0.7419354838709677,0.4791666666666667,0.5822784810126582,48,0.6,0.391304347826087,0.47368421052631576,23,0.06896551724137931,0.5,0.1212121212121212,4,0.4703003337041156,0.45682367149758457,0.392391604250365,75,0.6625168705969595,0.4533333333333333,0.5243860322074845,75,0.4533333333333333
24,0.1,0.5,16,0.2,0.3,0.7,0.5833333333333334,0.6363636363636365,48,0.37037037037037035,0.43478260869565216,0.39999999999999997,23,0.125,0.25,0.16666666666666666,4,0.3984567901234568,0.4227053140096619,0.40101010101010104,75,0.5682469135802468,0.52,0.5388282828282829,75,0.52
25,0.1,0.5,16,0.2,0.3,0.45,0.1875,0.26470588235294124,48,0.2702702702702703,0.43478260869565216,0.3333333333333333,23,0.1111111111111111,0.5,0.1818181818181818,4,0.27712712712712717,0.3740942028985507,0.2599524658348188,75,0.37680880880880885,0.28,0.2813309566250743,75,0.28
26,0.1,0.5,16,0.2,0.3,0.8571428571428571,0.375,0.5217391304347825,48,0.7,0.6086956521739131,0.6511627906976744,23,0.058823529411764705,0.5,0.10526315789473684,4,0.5386554621848739,0.4945652173913044,0.4260550263423979,75,0.7663753501400559,0.4533333333333333,0.5392170010466001,75,0.4533333333333333
27,0.1,0.5,16,0.2,0.3,0.48,0.25,0.3287671232876712,48,0.32142857142857145,0.391304347826087,0.35294117647058826,23,0.045454545454545456,0.25,0.07692307692307693,4,0.28229437229437226,0.2971014492753623,0.25287712556044545,75,0.408195670995671,0.29333333333333333,0.32274881712432074,75,0.29333333333333333
28,0.1,0.5,16,0.2,0.3,0.7931034482758621,0.9583333333333334,0.8679245283018867,48,1.0,0.17391304347826086,0.29629629629629634,23,0.0,0.0,0.0,4,0.5977011494252874,0.3774154589371981,0.38807360819939435,75,0.8142528735632184,0.6666666666666666,0.6463358956440718,75,0.6666666666666666
29,0.1,0.5,16,0.2,0.3,0.5,0.041666666666666664,0.07692307692307693,48,0.42105263157894735,0.34782608695652173,0.380952380952381,23,0.07692307692307693,1.0,0.14285714285714288,4,0.33265856950067474,0.46316425120772947,0.20024420024420028,75,0.4532253711201079,0.18666666666666668,0.17367521367521369,75,0.18666666666666668
