,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
0,-0.8969226,-0.2928992,0.4474319,-0.07799341,0.21191415,1.8769494,0.60079527,0.62891424,-0.20618571,0.85844296,-1.5085778,-0.18062715,-0.44123864,-0.13000488,0.029597968,0.27231604,0
1,-0.42282438,0.10830754,-0.087620676,0.19446766,0.16165438,0.013971508,-0.3906862,0.40878585,-0.13704361,0.6001118,-1.485534,0.9294799,-1.0327463,-0.16529271,-0.022108585,-0.8765052,0
2,-0.8969226,-0.2928992,0.4474319,-0.07799341,0.21191415,1.8769494,0.60079527,0.62891424,-0.20618571,0.85844296,-1.5085778,-0.18062715,-0.44123864,-0.13000488,0.029597968,0.27231604,0
3,-0.48267826,-1.0095043,0.3530199,-0.17960912,-0.9642257,2.5065272,1.1966212,-0.5470506,-0.6286536,-0.1906574,-0.25944123,-0.14608237,0.04159056,0.14622825,0.19972442,-0.8503349,1
4,-0.9220431,-1.0779935,-0.0430644,0.86035633,-0.10748756,1.8057933,0.73360085,0.4401788,0.6275376,0.9344706,0.03488213,-0.118769124,0.06610696,0.12326327,-0.084856324,0.3068837,0
5,-0.6364536,-1.4397839,0.7824502,-0.31168258,-0.034009337,1.4197036,0.4890668,0.045387536,0.7868431,0.3167517,-0.68150353,-0.43327996,-0.1743866,0.12717068,-0.26043087,0.23141956,0
6,0.30782616,0.31338,0.17042725,-0.30425048,-1.2520047,1.3944783,0.44672945,-0.57378274,-0.004387796,-0.9118775,0.43319547,-0.3186813,-0.5084265,0.17087956,1.1939065,-1.5624943,1
7,0.9828518,-0.16908038,0.5473353,0.57218117,-0.3912592,0.97474754,-0.9756242,0.68440384,0.20280546,-0.55885684,0.88661206,-0.11701554,-1.5760474,-0.048984826,0.9797758,0.35328552,1
8,0.91226596,0.23482329,0.094000146,0.4255371,1.1432893,1.2670356,-1.2358288,-0.18763912,0.71310645,-0.27007028,0.04758188,-1.2406597,0.4304434,0.58476967,0.8084521,-1.0898988,1
9,-0.48267826,-1.0095043,0.3530199,-0.17960912,-0.9642257,2.5065272,1.1966212,-0.5470506,-0.6286536,-0.1906574,-0.25944123,-0.14608237,0.04159056,0.14622825,0.19972442,-0.8503349,1
10,0.30782616,0.31338,0.17042725,-0.30425048,-1.2520047,1.3944783,0.44672945,-0.57378274,-0.004387796,-0.9118775,0.43319547,-0.3186813,-0.5084265,0.17087956,1.1939065,-1.5624943,1
11,0.9828518,-0.16908038,0.5473353,0.57218117,-0.3912592,0.97474754,-0.9756242,0.68440384,0.20280546,-0.55885684,0.88661206,-0.11701554,-1.5760474,-0.048984826,0.9797758,0.35328552,1
12,0.6664456,-1.090758,0.19487542,0.9692836,-0.15373993,0.22381839,-1.217214,0.4910076,-0.35231823,-0.09596789,0.21701908,1.1656904,-1.6175381,-0.10892396,-0.066112936,-0.08337635,1
13,0.1923328,-0.66290027,-0.5339105,0.40300614,0.08685967,-0.06878242,-0.12199944,0.07206499,0.34025466,-0.7776777,-0.6722191,1.0193394,-0.4750323,0.04675144,-0.9079287,-0.5069727,0
14,-0.13267545,-0.38159144,0.37688994,-0.25487512,-0.53645384,-0.012728959,-0.39072537,-0.238325,0.7099361,-0.7943445,-0.3228848,0.15296528,0.04099658,0.27971062,-0.75722736,0.19941261,0
15,-0.9220431,-1.0779935,-0.0430644,0.86035633,-0.10748756,1.8057933,0.73360085,0.4401788,0.6275376,0.9344706,0.03488213,-0.118769124,0.06610696,0.12326327,-0.084856324,0.3068837,0
16,-0.44794482,-0.6767868,-0.57811695,1.1328174,-0.15774733,-0.057184696,-0.25788066,0.22005042,0.6966797,0.6761394,0.05792588,0.9913379,-0.5254007,0.087975435,-0.13656288,-0.84193754,0
