,k,train_split,embedding_d,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
0,1,0.1,128,0.9900990099009901,0.31746031746031744,0.4807692307692307,315,0.004629629629629629,0.5,0.009174311926605503,2,0.49736431976530987,0.4087301587301587,0.24497177134791812,317,0.983881537470256,0.3186119873817035,0.47779386850523936,317,0.3186119873817035
1,1,0.1,128,1.0,0.13968253968253969,0.24512534818941506,315,0.007326007326007326,1.0,0.014545454545454545,2,0.5036630036630036,0.5698412698412698,0.1298354013674348,317,0.993737072601426,0.14511041009463724,0.24367058545349102,317,0.14511041009463724
2,1,0.1,128,1.0,0.2126984126984127,0.35078534031413616,315,0.008,1.0,0.015873015873015872,2,0.504,0.6063492063492063,0.18332917809357602,317,0.9937413249211358,0.21766561514195584,0.34867232880346666,317,0.21766561514195584
3,1,0.1,128,1.0,0.10793650793650794,0.19484240687679083,315,0.007067137809187279,1.0,0.014035087719298244,2,0.5035335689045937,0.553968253968254,0.10443874729804453,317,0.9937354393552629,0.11356466876971609,0.19370166669283187,317,0.11356466876971609
4,1,0.1,128,1.0,0.05396825396825397,0.10240963855421686,315,0.006666666666666667,1.0,0.013245033112582783,2,0.5033333333333333,0.526984126984127,0.05782733583339982,317,0.993732912723449,0.05993690851735016,0.10184708583849676,317,0.05993690851735016
5,1,0.1,128,0.9893617021276596,0.29523809523809524,0.4547677261613692,315,0.004484304932735426,0.5,0.008888888888888889,2,0.4969230035301975,0.39761904761904765,0.23182830752512903,317,0.983147964605925,0.29652996845425866,0.45195461046879837,317,0.29652996845425866
6,1,0.1,128,1.0,0.06984126984126984,0.13056379821958458,315,0.006779661016949152,1.0,0.01346801346801347,2,0.5033898305084745,0.5349206349206349,0.07201590584379902,317,0.993733625621558,0.07570977917981073,0.12982502355238226,317,0.07570977917981073
7,1,0.1,128,0.9821428571428571,0.1746031746031746,0.29649595687331537,315,0.0038314176245210726,0.5,0.007604562737642585,2,0.4929871373836891,0.3373015873015873,0.15205025980547898,317,0.9759705452216059,0.17665615141955837,0.2946732982352354,317,0.17665615141955837
8,1,0.1,128,1.0,0.46984126984126984,0.6393088552915767,315,0.011834319526627219,1.0,0.023391812865497075,2,0.5059171597633136,0.734920634920635,0.33135033407853687,317,0.9937655162115244,0.47318611987381703,0.6354229433519799,317,0.47318611987381703
9,1,0.1,128,0.9615384615384616,0.07936507936507936,0.14662756598240467,315,0.003436426116838488,0.5,0.006825938566552901,2,0.48248744382765,0.28968253968253965,0.07672675227447878,317,0.9554936537440035,0.08201892744479496,0.14574553678735197,317,0.08201892744479496
10,1,0.1,128,1.0,0.031746031746031744,0.06153846153846154,315,0.006514657980456026,1.0,0.012944983818770227,2,0.503257328990228,0.5158730158730158,0.037241722678615884,317,0.9937319536781102,0.03785488958990536,0.0612318780828168,317,0.03785488958990536
11,1,0.1,128,1.0,0.7587301587301587,0.8628158844765342,315,0.02564102564102564,1.0,0.05,2,0.5128205128205128,0.8793650793650793,0.45640794223826714,317,0.9938526247674513,0.7602523659305994,0.8576877085492376,317,0.7602523659305994
12,1,0.1,128,1.0,0.37142857142857144,0.5416666666666666,315,0.01,1.0,0.019801980198019802,2,0.505,0.6857142857142857,0.2807343234323432,317,0.9937539432176655,0.3753943217665615,0.5383741449854765,317,0.3753943217665615
